                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.008,                0.68602,                0.99857,                0.97932,                0.69026,                0.87414,                0.64265,                0.90742,                0.57056,                0.98219,               0.005842,               0.005842,               0.005842
                     86,                 1.0389,                0.67553,                 1.0615,                0.77866,                 0.8427,                0.89415,                0.64355,                0.93111,                0.57067,                0.99121,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0199,                0.65474,                0.99779,                0.86461,                0.81819,                 0.9894,                0.72693,                0.87266,                 0.5521,                0.96959,               0.005743,               0.005743,               0.005743
                     88,                 1.0011,                0.64884,                 0.9969,                0.90267,                0.84941,                0.98949,                0.74645,                0.89927,                0.55838,                0.97728,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97963,                0.66936,                0.96787,                0.90267,                0.84941,                0.98949,                0.74645,                0.89927,                0.55838,                0.97728,               0.005644,               0.005644,               0.005644
                     90,                0.90383,                0.64416,                0.95159,                0.93328,                0.84643,                0.98889,                0.71647,                0.93789,                0.57469,                0.98358,              0.0055945,              0.0055945,              0.0055945
                     91,                0.97923,                0.64167,                0.96651,                0.96416,                0.83569,                0.98925,                0.73569,                0.85558,                0.55548,                 0.9604,               0.005545,               0.005545,               0.005545
                     92,                0.98334,                0.66901,                0.98468,                0.93023,                0.81774,                0.98952,                 0.7464,                0.89009,                0.54974,                0.97384,              0.0054955,              0.0054955,              0.0054955
                     93,                0.95154,                0.65875,                0.99382,                0.93023,                0.81774,                0.98952,                 0.7464,                0.89009,                0.54974,                0.97384,               0.005446,               0.005446,               0.005446
                     94,                0.95486,                0.67865,                0.96294,                0.95447,                0.80444,                0.98922,                 0.7236,                0.88386,                0.56467,                0.97168,              0.0053965,              0.0053965,              0.0053965
                     95,                0.96637,                0.66205,                0.95396,                0.95253,                0.82153,                0.98988,                0.73591,                0.96325,                0.55158,                0.99731,               0.005347,               0.005347,               0.005347
                     96,                0.95131,                0.63576,                0.97306,                0.96949,                0.82224,                 0.9185,                0.71213,                0.83566,                0.52581,                0.95735,              0.0052975,              0.0052975,              0.0052975
                     97,                0.96676,                0.68814,                0.98587,                0.96665,                0.82651,                0.98983,                 0.7783,                0.88629,                0.53916,                0.96539,               0.005248,               0.005248,               0.005248
                     98,                0.97661,                0.61786,                0.96266,                0.96665,                0.82651,                0.98983,                 0.7783,                0.88629,                0.53916,                0.96539,              0.0051985,              0.0051985,              0.0051985
                     99,                0.92492,                0.63517,                0.95657,                0.96241,                0.84225,                0.98943,                0.77736,                0.84847,                0.51616,                0.95319,               0.005149,               0.005149,               0.005149
                    100,                0.95947,                0.61641,                0.93934,                0.81438,                0.99428,                0.98895,                0.78394,                0.81472,                0.50338,                 0.9403,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.9457,                0.61802,                0.96955,                0.87226,                0.99428,                0.98887,                0.78135,                0.87043,                0.51404,                0.96273,                0.00505,                0.00505,                0.00505
                    102,                0.87594,                0.62787,                0.97545,                0.92038,                 0.9872,                0.99065,                0.80683,                0.79437,                0.50476,                0.93273,              0.0050005,              0.0050005,              0.0050005
                    103,                0.92374,                0.63574,                 0.9768,                0.92038,                 0.9872,                0.99065,                0.80683,                0.79437,                0.50476,                0.93273,               0.004951,               0.004951,               0.004951
                    104,                0.90912,                0.59518,                0.97417,                 0.9522,                0.98055,                0.99155,                0.79758,                0.82008,                0.49831,                0.94584,              0.0049015,              0.0049015,              0.0049015
                    105,                0.89063,                0.63192,                0.95496,                0.96687,                0.97721,                0.99186,                0.79739,                0.76579,                0.48127,                0.92766,               0.004852,               0.004852,               0.004852
                    106,                0.87204,                0.58603,                0.95561,                 0.9612,                0.97331,                0.99211,                0.79059,                0.85282,                 0.4931,                0.95151,              0.0048025,              0.0048025,              0.0048025
                    107,                 0.8896,                0.57128,                0.93599,                 0.9612,                0.97331,                0.99211,                0.79059,                0.85282,                 0.4931,                0.95151,               0.004753,               0.004753,               0.004753
                    108,                0.92322,                0.59509,                 0.9514,                0.96154,                0.96356,                0.99236,                0.78868,                0.76549,                0.47248,                0.92565,              0.0047035,              0.0047035,              0.0047035
                    109,                 0.8986,                0.58544,                0.97912,                0.94556,                0.96576,                0.99253,                0.76734,                0.86914,                0.49665,                0.95959,               0.004654,               0.004654,               0.004654
                    110,                0.92137,                  0.617,                0.95552,                0.93253,                0.97993,                0.99243,                0.78197,                0.78798,                0.46964,                0.93051,              0.0046045,              0.0046045,              0.0046045
                    111,                0.91726,                0.59512,                0.96093,                0.93068,                0.97008,                0.99283,                0.80398,                0.80586,                0.47765,                0.93662,               0.004555,               0.004555,               0.004555
                    112,                0.91063,                0.62562,                0.95189,                0.93068,                0.97008,                0.99283,                0.80398,                0.80586,                0.47765,                0.93662,              0.0045055,              0.0045055,              0.0045055
                    113,                0.86061,                0.57182,                0.94005,                0.89396,                0.97886,                0.99236,                0.81502,                0.78015,                0.47144,                0.92932,               0.004456,               0.004456,               0.004456
                    114,                0.92171,                0.58535,                0.96743,                0.91006,                0.98049,                0.99201,                0.83422,                0.75434,                0.46231,                0.92055,              0.0044065,              0.0044065,              0.0044065
                    115,                0.88971,                0.59282,                0.95713,                0.93222,                0.97473,                0.99194,                0.83446,                0.81757,                0.46783,                0.94131,               0.004357,               0.004357,               0.004357
                    116,                0.92996,                0.58135,                0.96595,                0.93222,                0.97473,                0.99194,                0.83446,                0.81757,                0.46783,                0.94131,              0.0043075,              0.0043075,              0.0043075
                    117,                0.89423,                0.56946,                0.93826,                0.94451,                0.97451,                0.99199,                0.82283,                0.74895,                0.45771,                0.91852,               0.004258,               0.004258,               0.004258
                    118,                0.92334,                 0.6571,                0.94804,                0.92762,                0.97708,                 0.9922,                0.80736,                0.75716,                 0.4731,                0.92339,              0.0042085,              0.0042085,              0.0042085
                    119,                0.84067,                 0.5639,                0.94497,                0.89352,                0.98775,                 0.9923,                0.82562,                0.72988,                0.45528,                0.91288,               0.004159,               0.004159,               0.004159
                    120,                0.83307,                0.55592,                0.93474,                0.94343,                0.97487,                0.99256,                 0.8037,                0.85559,                0.47954,                0.95017,              0.0041095,              0.0041095,              0.0041095
                    121,                0.88372,                0.63565,                0.95906,                0.94343,                0.97487,                0.99256,                 0.8037,                0.85559,                0.47954,                0.95017,                0.00406,                0.00406,                0.00406
                    122,                0.86163,                0.55248,                0.94737,                0.94524,                0.97307,                 0.9925,                0.80991,                0.79566,                0.46718,                0.92866,              0.0040105,              0.0040105,              0.0040105
                    123,                0.86363,                0.58025,                0.96788,                 0.9569,                0.97837,                0.99282,                0.81975,                0.77911,                0.44805,                0.92229,               0.003961,               0.003961,               0.003961
                    124,                0.86103,                0.56616,                0.93524,                0.95384,                0.97876,                0.99279,                0.81144,                0.81688,                0.46753,                 0.9359,              0.0039115,              0.0039115,              0.0039115
                    125,                0.85592,                0.56077,                0.94097,                0.95384,                0.97876,                0.99279,                0.81144,                0.81688,                0.46753,                 0.9359,               0.003862,               0.003862,               0.003862
                    126,                0.89639,                 0.5538,                0.96086,                0.91742,                0.98055,                0.99295,                0.80781,                0.82246,                0.47805,                0.93865,              0.0038125,              0.0038125,              0.0038125
                    127,                0.85698,                0.55774,                0.92539,                  0.933,                0.95716,                0.99307,                0.82828,                0.72567,                0.44151,                 0.9101,               0.003763,               0.003763,               0.003763
                    128,                0.85015,                0.55485,                0.94072,                0.95842,                0.98245,                0.99307,                0.82953,                0.78378,                0.43259,                0.92601,              0.0037135,              0.0037135,              0.0037135
                    129,                0.80761,                0.54399,                 0.9303,                0.96546,                 0.9765,                0.99309,                0.84194,                0.71746,                0.41709,                0.90537,               0.003664,               0.003664,               0.003664
                    130,                0.85696,                0.53467,                0.93155,                0.96546,                 0.9765,                0.99309,                0.84194,                0.71746,                0.41709,                0.90537,              0.0036145,              0.0036145,              0.0036145
                    131,                0.80908,                0.51728,                0.91193,                0.96507,                 0.9752,                0.99324,                0.83324,                0.76631,                0.43517,                0.92116,               0.003565,               0.003565,               0.003565
                    132,                0.83168,                0.53123,                0.94023,                0.96752,                0.97651,                 0.9934,                0.83461,                0.73465,                0.41675,                0.91276,              0.0035155,              0.0035155,              0.0035155
                    133,                0.81383,                0.51792,                 0.9302,                0.96318,                0.97491,                0.99343,                0.83723,                0.73404,                0.41253,                0.90779,               0.003466,               0.003466,               0.003466
                    134,                0.82739,                0.53966,                  0.913,                0.96143,                0.97314,                0.99347,                0.83598,                0.79047,                0.42907,                0.93126,              0.0034165,              0.0034165,              0.0034165
                    135,                0.81278,                0.52371,                0.92733,                0.96143,                0.97314,                0.99347,                0.83598,                0.79047,                0.42907,                0.93126,               0.003367,               0.003367,               0.003367
                    136,                0.84929,                0.53448,                0.96294,                0.95409,                0.97983,                0.99335,                 0.8518,                0.69006,                0.40353,                0.89805,              0.0033175,              0.0033175,              0.0033175
                    137,                0.84116,                0.53275,                0.92786,                0.95607,                0.97835,                0.99333,                0.84317,                0.75106,                0.41349,                0.91532,               0.003268,               0.003268,               0.003268
                    138,                0.78832,                0.51722,                0.90875,                0.95955,                0.97751,                0.99331,                0.84062,                0.71327,                0.39948,                0.90383,              0.0032185,              0.0032185,              0.0032185
                    139,                0.81896,                0.55213,                0.91812,                0.95955,                0.97751,                0.99331,                0.84062,                0.71327,                0.39948,                0.90383,               0.003169,               0.003169,               0.003169
                    140,                0.79739,                0.53163,                0.92738,                0.96063,                0.98236,                0.99362,                0.83721,                0.74291,                0.40853,                0.91393,              0.0031195,              0.0031195,              0.0031195
                    141,                0.77502,                0.50476,                0.90319,                0.95882,                 0.9878,                0.99364,                0.83355,                0.73953,                0.40369,                0.91457,                0.00307,                0.00307,                0.00307
                    142,                0.79786,                0.52095,                0.93715,                0.95507,                0.98054,                0.99355,                0.83223,                0.74817,                 0.4038,                0.91083,              0.0030205,              0.0030205,              0.0030205
                    143,                0.81678,                0.52118,                0.92158,                0.95025,                0.98042,                0.99347,                0.83202,                0.76512,                 0.4085,                0.92138,               0.002971,               0.002971,               0.002971
                    144,                0.82418,                0.50272,                 0.9415,                0.95025,                0.98042,                0.99347,                0.83202,                0.76512,                 0.4085,                0.92138,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.8171,                0.49224,                0.92187,                0.95339,                0.98017,                0.99388,                0.82389,                 0.7094,                0.39684,                0.89967,               0.002872,               0.002872,               0.002872
                    146,                0.79776,                0.50357,                0.89961,                0.95915,                0.98395,                 0.9938,                0.80955,                0.74476,                0.40091,                 0.9122,              0.0028225,              0.0028225,              0.0028225
                    147,                0.74705,                0.49377,                0.91376,                0.95944,                 0.9856,                0.99405,                0.82651,                 0.7222,                0.39841,                0.90461,               0.002773,               0.002773,               0.002773
                    148,                0.75752,                  0.504,                0.90113,                0.95944,                 0.9856,                0.99405,                0.82651,                 0.7222,                0.39841,                0.90461,              0.0027235,              0.0027235,              0.0027235
                    149,                0.78325,                0.48429,                0.90835,                0.96416,                0.98223,                0.99404,                0.82917,                0.74056,                0.40382,                0.90878,               0.002674,               0.002674,               0.002674
                    150,                0.81351,                0.50322,                 0.9204,                 0.9606,                0.98388,                 0.9942,                0.84796,                0.70968,                0.39024,                0.89966,              0.0026245,              0.0026245,              0.0026245
